tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
2304.00;420553738_0;25.70;12.54;2106.00;0.77;476950166_0;5.10;0.00;tripinfo_veh3490 routing_veh3490;198.00;veh3490;1;2249.25;1.14;0.00;50.41;veh_passenger;;2;6.00
2305.00;98607705_0;87.74;11.81;2010.00;0.08;48963740#2_1;5.10;0.00;tripinfo_veh3332 routing_veh3332;295.00;veh3332;1;2685.89;0.94;0.00;60.86;veh_passenger;;4;13.00
2305.00;553352498#1_0;64.52;6.95;2105.00;0.37;42207927#6_1;5.10;0.00;tripinfo_veh3489 routing_veh3489;200.00;veh3489;1;1336.51;0.90;0.00;20.55;veh_passenger;;0;0.00
2306.00;542406434#0_1;0.19;6.30;1913.00;0.20;548305064_1;5.10;0.00;tripinfo_veh3171 routing_veh3171;393.00;veh3171;1;5216.18;1.01;0.00;68.01;veh_passenger;;3;10.00
2306.00;-45393809#0_0;65.69;15.53;1963.00;0.73;-304932107_0;5.10;9.78;tripinfo_veh3253 routing_veh3253;343.00;veh3253;1;4173.92;1.17;0.00;59.28;veh_passenger;;1;23.00
2306.00;1095251278#0_0;57.24;13.79;2015.00;0.25;160535588#4_0;5.10;0.00;tripinfo_veh3340 routing_veh3340;291.00;veh3340;1;2994.00;1.08;0.00;55.80;veh_passenger;;1;5.00
2306.00;241308381_0;64.53;1.51;2078.00;0.52;-91013792_0;5.10;0.00;tripinfo_veh3444 routing_veh3444;228.00;veh3444;1;1582.31;0.82;0.00;40.13;veh_passenger;;1;6.00
2307.00;-257861444#0_0;72.49;6.93;1671.00;0.69;40972458#2_0;5.10;0.00;tripinfo_veh2769 routing_veh2769;636.00;veh2769;1;5871.81;0.94;0.00;124.67;veh_passenger;;6;34.00
2307.00;397369744_0;59.55;11.39;1971.00;0.89;427451695#6_1;5.10;0.00;tripinfo_veh3266 routing_veh3266;336.00;veh3266;1;3149.76;0.85;0.00;64.76;veh_passenger;;4;17.00
2307.00;893427501#2_1;62.93;14.05;1972.00;0.68;-1027455305_0;5.10;3.22;tripinfo_veh3268 routing_veh3268;335.00;veh3268;1;3630.60;1.16;0.00;82.30;veh_passenger;;2;21.00
2307.00;-240449704_0;167.93;10.47;2012.00;0.87;304931641_0;5.10;0.00;tripinfo_veh3334 routing_veh3334;295.00;veh3334;1;2771.98;0.79;0.00;43.13;veh_passenger;;2;5.00
2308.00;241308395_0;54.76;3.47;1728.00;0.38;399760675#2_1;5.10;0.00;tripinfo_veh2864 routing_veh2864;580.00;veh2864;1;5072.61;0.95;0.00;121.53;veh_passenger;;6;27.00
2309.00;-48537846_0;26.72;12.14;2001.00;0.13;552447262#1_0;5.10;0.00;tripinfo_veh3317 routing_veh3317;308.00;veh3317;1;3073.14;0.99;0.00;77.10;veh_passenger;;3;18.00
2309.00;42201274_0;15.15;12.04;2189.00;0.52;-269103122#6_0;5.10;0.00;tripinfo_veh3628 routing_veh3628;120.00;veh3628;1;987.33;1.00;0.00;28.01;veh_passenger;;2;7.00
2310.00;-257574985_0;2.46;12.76;1959.00;0.95;-485182256_0;5.10;2.57;tripinfo_veh3246 routing_veh3246;351.00;veh3246;1;4238.12;0.92;0.00;35.98;veh_passenger;;0;0.00
2310.00;-606417691_0;49.93;14.71;2051.00;0.06;-45393764#0_0;0.20;0.00;tripinfo_veh3400 routing_veh3400;259.00;veh3400;1;2719.75;1.07;0.00;66.44;veh_passenger;;2;23.00
2311.00;42143918#16_0;94.90;7.42;1790.00;0.86;-253220512_0;5.10;8.64;tripinfo_veh2966 routing_veh2966;521.00;veh2966;1;6317.79;1.04;0.00;88.94;veh_passenger;;2;9.00
2311.00;-563376161#4_0;0.20;13.78;1915.00;0.39;48147639#0_1;5.10;0.00;tripinfo_veh3174 routing_veh3174;396.00;veh3174;1;3147.30;1.01;0.00;155.34;veh_passenger;;5;93.00
2312.00;269103489#0_0;71.69;9.50;2022.00;0.01;81508865#0-AddedOffRampEdge_0;5.10;0.00;tripinfo_veh3352 routing_veh3352;290.00;veh3352;1;1750.68;0.72;0.00;54.72;veh_passenger;;2;22.00
2313.00;815723564#0_0;227.75;14.95;1637.00;0.47;402191987#7_0;5.10;0.00;tripinfo_veh2713 routing_veh2713;676.00;veh2713;1;8212.30;1.11;0.00;200.58;veh_passenger;;10;68.00
2313.00;241515824_0;47.56;2.48;1732.00;0.16;42201285#2_0;5.10;0.00;tripinfo_veh2871 routing_veh2871;581.00;veh2871;1;5272.39;0.90;0.00;111.27;veh_passenger;;3;26.00
2313.00;48537857#1_0;29.89;13.31;1875.00;0.80;-1179951478_0;5.10;14.41;tripinfo_veh3107 routing_veh3107;438.00;veh3107;1;4823.31;1.04;0.00;90.21;veh_passenger;;3;14.00
2313.00;-48548053_0;43.84;12.16;2116.00;0.51;48859304#5_0;5.10;0.00;tripinfo_veh3507 routing_veh3507;197.00;veh3507;1;1928.69;0.88;0.00;34.70;veh_passenger;;1;9.00
2315.00;81508871#9_0;34.91;14.92;1894.00;0.50;84012032#0_0;5.10;3.16;tripinfo_veh3139 routing_veh3139;421.00;veh3139;1;4279.21;1.14;0.00;129.01;veh_passenger;;4;34.00
2315.00;242069281_0;42.35;11.36;2128.00;0.45;48914849#0_0;5.10;0.00;tripinfo_veh3527 routing_veh3527;187.00;veh3527;1;1560.61;0.87;0.00;32.31;veh_passenger;;1;4.00
2316.00;400014711#2_0;69.05;8.06;2099.00;0.40;48903093_0;5.10;0.00;tripinfo_veh3479 routing_veh3479;217.00;veh3479;1;1808.57;0.99;0.00;65.60;veh_passenger;;3;26.00
2317.00;368497498#0_1;108.76;7.54;1634.00;0.49;333014846#2_0;5.10;0.00;tripinfo_veh2708 routing_veh2708;683.00;veh2708;1;6505.64;1.04;0.00;219.92;veh_passenger;;12;79.00
2318.00;400014711#7_1;58.44;6.36;1780.00;0.51;42195044#4_1;5.10;0.00;tripinfo_veh2950 routing_veh2950;538.00;veh2950;1;4443.06;0.84;0.00;100.98;veh_passenger;;6;16.00
2319.00;400049837#1_0;29.85;15.11;1797.00;0.62;641603087#6_0;0.20;0.00;tripinfo_veh2978 routing_veh2978;522.00;veh2978;1;3731.92;0.97;0.00;198.21;veh_passenger;;7;128.00
2319.00;952365290#0_1;19.56;9.07;2096.00;3.44;-1101837201_0;5.10;0.00;tripinfo_veh3469 routing_veh3469;223.00;veh3469;1;2079.20;0.93;0.00;58.36;veh_passenger;;3;13.00
2320.00;659915190_0;35.00;12.91;1747.00;0.68;612320334#2_0;5.10;0.00;tripinfo_veh2895 routing_veh2895;573.00;veh2895;1;6074.80;0.94;0.00;143.02;veh_passenger;;4;35.00
2320.00;59829982#4_0;21.19;10.49;1990.00;0.59;-305293739#0_0;5.10;0.00;tripinfo_veh3298 routing_veh3298;330.00;veh3298;1;2994.30;0.81;0.00;39.63;veh_passenger;;1;5.00
2320.00;329581870#1_0;138.61;13.18;2067.00;0.98;48903204_1;5.10;0.00;tripinfo_veh3425 routing_veh3425;253.00;veh3425;1;2450.80;1.03;0.00;80.82;veh_passenger;;6;36.00
2321.00;269102410#1_0;67.16;14.79;1854.00;0.31;-559508158#4_0;5.10;0.00;tripinfo_veh3073 routing_veh3073;467.00;veh3073;1;4734.56;1.09;0.00;166.84;veh_passenger;;6;73.00
2322.00;242293675_0;212.27;15.94;1956.00;0.97;563376161#2_0;5.10;0.00;tripinfo_veh3241 routing_veh3241;366.00;veh3241;1;4148.36;1.15;0.00;99.89;veh_passenger;;4;30.00
2322.00;-48548014#2_0;61.48;12.98;2079.00;0.31;45393787#3_0;0.20;0.00;tripinfo_veh3446 routing_veh3446;243.00;veh3446;1;2043.27;0.95;0.00;82.64;veh_passenger;;3;43.00
2323.00;241308388_0;36.89;12.71;1591.00;0.92;42143918#13_1;5.10;0.00;tripinfo_veh2636 routing_veh2636;732.00;veh2636;1;7331.77;1.10;0.00;257.32;veh_passenger;;11;100.00
2324.00;-533241698#0_0;25.15;11.19;2047.00;0.28;-86484914_0;5.10;3.94;tripinfo_veh3393 routing_veh3393;277.00;veh3393;1;1777.83;0.94;0.00;98.87;veh_passenger;;6;46.00
2327.00;48203216#1_1;36.41;12.78;2061.00;0.41;240449700#0_0;5.10;0.00;tripinfo_veh3416 routing_veh3416;266.00;veh3416;1;2198.97;0.94;0.00;69.01;veh_passenger;;1;27.00
2327.00;48537813#0_0;84.04;11.50;2200.00;0.06;45393772#3_0;5.10;0.00;tripinfo_veh3647 routing_veh3647;127.00;veh3647;1;1230.33;0.92;0.00;24.12;veh_passenger;;0;0.00
2328.00;45429545#2_0;9.98;12.88;1735.00;0.75;-894588836_0;5.10;13.04;tripinfo_veh2875 routing_veh2875;593.00;veh2875;1;5373.17;0.94;0.00;162.87;veh_passenger;;7;68.00
2328.00;122485130#2_0;75.36;13.70;1856.00;0.50;-445106174#1_0;5.10;0.00;tripinfo_veh3076 routing_veh3076;472.00;veh3076;1;5986.58;1.08;0.00;100.27;veh_passenger;;3;34.00
2328.00;39525774#7_1;0.20;8.60;2083.00;0.09;305048624#5_0;5.10;0.00;tripinfo_veh3453 routing_veh3453;245.00;veh3453;1;2084.33;1.06;0.00;57.51;veh_passenger;;2;15.00
2329.00;241308383_0;51.07;12.45;1979.00;0.44;48903049#5_0;5.10;0.00;tripinfo_veh3280 routing_veh3280;350.00;veh3280;1;3422.70;0.94;0.00;70.47;veh_passenger;;5;11.00
2331.00;553343875#1_0;35.33;14.82;1939.00;0.86;241308376#4_2;5.10;0.00;tripinfo_veh3213 routing_veh3213;392.00;veh3213;1;3806.27;1.11;0.00;101.39;veh_passenger;;3;17.00
2332.00;306730606#1_0;22.25;10.93;1997.00;0.95;-404105019_0;5.10;3.77;tripinfo_veh3309 routing_veh3309;335.00;veh3309;1;2596.45;0.91;0.00;111.88;veh_passenger;;3;72.00
2333.00;304614457_1;21.19;22.94;1816.00;0.92;47861676_0;5.10;0.00;tripinfo_veh3009 routing_veh3009;517.00;veh3009;1;5668.36;0.93;0.00;111.59;veh_passenger;;6;41.00
2333.00;-329974455#8_0;46.52;12.05;1883.00;0.36;406261768#4_0;5.10;0.00;tripinfo_veh3121 routing_veh3121;450.00;veh3121;1;4032.80;0.92;0.00;87.06;veh_passenger;;5;21.00
2333.00;48962887#3_1;26.80;10.77;1954.00;0.18;40972473#1_0;5.10;0.00;tripinfo_veh3239 routing_veh3239;379.00;veh3239;1;4465.50;0.81;0.00;72.31;veh_passenger;;3;17.00
2334.00;337277957#4_1;51.05;8.49;1926.00;0.53;-406976392_0;5.10;9.79;tripinfo_veh3192 routing_veh3192;408.00;veh3192;1;3427.34;1.17;0.00;151.51;veh_passenger;;10;69.00
2334.00;337277973#1_0;59.57;6.98;1966.00;0.11;402259157#0_0;0.20;0.00;tripinfo_veh3259 routing_veh3259;368.00;veh3259;1;3539.55;0.97;0.00;90.61;veh_passenger;;6;34.00
2334.00;552619450_2;13.08;9.61;2198.00;0.48;542393515_0;5.10;0.00;tripinfo_veh3643 routing_veh3643;136.00;veh3643;1;1099.96;0.92;0.00;48.33;veh_passenger;;2;31.00
2335.00;84618189#5_0;410.17;14.75;1726.00;0.80;492468483_1;5.10;0.00;tripinfo_veh2860 routing_veh2860;609.00;veh2860;1;6578.42;1.13;0.00;168.93;veh_passenger;;8;73.00
2335.00;1095244323#0_1;157.81;23.32;1870.00;0.02;-305047845#3_0;5.10;0.00;tripinfo_veh3100 routing_veh3100;465.00;veh3100;1;5106.29;0.98;0.00;117.98;veh_passenger;;5;25.00
2335.00;-45393763#1_0;57.78;11.95;1892.00;0.91;42492699#0_1;5.10;0.00;tripinfo_veh3135 routing_veh3135;443.00;veh3135;1;3272.56;0.90;0.00;111.67;veh_passenger;;6;45.00
2335.00;61429492#1_1;21.25;11.84;1989.00;0.19;257861448#12_0;5.10;0.00;tripinfo_veh3297 routing_veh3297;346.00;veh3297;1;3806.17;1.23;0.00;136.24;veh_passenger;;4;41.00
2335.00;242069249_0;42.82;13.01;2067.00;0.37;-406873916_0;5.10;6.27;tripinfo_veh3426 routing_veh3426;268.00;veh3426;1;3962.49;1.01;0.00;37.43;veh_passenger;;1;2.00
2337.00;1180612907_0;43.53;14.32;1718.00;0.03;895028863#1_0;5.10;0.00;tripinfo_veh2848 routing_veh2848;619.00;veh2848;1;7042.23;1.07;0.00;159.08;veh_passenger;;6;48.00
2337.00;-45393763#0_0;67.07;13.71;1910.00;0.81;-48581536#1_0;5.10;8.71;tripinfo_veh3165 routing_veh3165;427.00;veh3165;1;3532.94;1.05;0.00;178.39;veh_passenger;;7;96.00
2337.00;-241299715_0;32.38;14.44;2114.00;0.32;544580387#2_1;5.10;0.00;tripinfo_veh3504 routing_veh3504;223.00;veh3504;1;2410.63;1.04;0.00;57.09;veh_passenger;;2;3.00
2337.00;605045760_0;24.21;1.59;2194.00;0.10;-649611900_0;5.10;11.76;tripinfo_veh3637 routing_veh3637;143.00;veh3637;1;1229.02;0.85;0.00;38.12;veh_passenger;;1;6.00
2339.00;-240449700#0_0;20.08;12.98;1903.00;0.45;533256358_0;5.10;13.30;tripinfo_veh3154 routing_veh3154;436.00;veh3154;1;4715.13;0.96;0.00;82.09;veh_passenger;;1;10.00
2339.00;403680149#0_0;12.01;13.60;1966.00;0.72;893427498#0_0;5.10;0.00;tripinfo_veh3258 routing_veh3258;373.00;veh3258;1;3695.71;1.01;0.00;86.02;veh_passenger;;3;20.00
2339.00;326566169_0;5.76;12.28;2120.00;0.89;-1180356110#1_0;5.10;12.62;tripinfo_veh3513 routing_veh3513;219.00;veh3513;1;2441.77;0.91;0.00;48.55;veh_passenger;;1;10.00
2340.00;406873916_0;6.32;14.02;2183.00;0.56;45393814#1_0;5.10;0.00;tripinfo_veh3618 routing_veh3618;157.00;veh3618;1;1296.70;1.08;0.00;47.44;veh_passenger;;3;11.00
2341.00;552646975#4_0;66.80;6.25;1710.00;0.48;42201260#4_0;5.10;0.00;tripinfo_veh2834 routing_veh2834;631.00;veh2834;1;4748.33;0.82;0.00;128.02;veh_passenger;;6;52.00
2341.00;304930424#0_0;72.69;8.61;2050.00;0.26;242069352#2_0;5.10;0.00;tripinfo_veh3398 routing_veh3398;291.00;veh3398;1;2844.53;1.06;0.00;51.97;veh_passenger;;1;18.00
2341.00;48860950#9_0;36.32;13.31;2097.00;0.82;329581870#1_1;5.10;0.00;tripinfo_veh3475 routing_veh3475;244.00;veh3475;1;2159.26;1.05;0.00;75.22;veh_passenger;;1;41.00
